JP Morgan,Apple,Amazon,Walmart,Target,Microsoft
116.55274200439453,156.79202270507812,124.5,149.0274200439453,223.0750732421875,281.0918884277344
119.04927825927734,158.30075073242188,124.25350189208984,149.547119140625,225.75453186035156,278.4338073730469
122.98758697509766,164.79241943359375,125.92849731445312,151.61611938476562,230.5018310546875,286.53643798828125
119.91046905517578,155.61080932617188,116.40699768066406,150.3170623779297,224.0264892578125,274.0564270019531
119.71694946289062,156.34642028808594,114.77249908447266,147.18751525878906,218.63841247558594,271.4675598144531
117.91712951660156,151.15740966796875,108.78900146484375,148.90975952148438,217.6578826904297,261.4380798339844
115.04322814941406,153.59286499023438,108.85900115966797,146.8135528564453,212.71641540527344,266.2996520996094
114.31748962402344,145.63040161132812,105.37200164794922,145.27828979492188,207.2604217529297,257.4559326171875
114.22071838378906,141.7137908935547,106.93049621582031,145.1405029296875,210.9300994873047,252.31768798828125
115.23674774169922,146.23678588867188,113.05500030517578,145.70147705078125,213.3183135986328,258.0191650390625
114.43360900878906,144.6761016845703,110.81050109863281,145.8589324951172,212.8523406982422,258.3946533203125
118.22677612304688,148.35414123535156,115.36849975585938,129.26638793945312,209.859619140625,263.6514587402344
116.20439147949219,139.984130859375,107.11250305175781,120.48787689208984,157.5409393310547,251.6475067138672
114.48198699951172,136.5347137451172,107.31900024414062,117.18118286132812,149.56690979003906,250.71652221679688
113.54337310791016,136.7732696533203,107.59100341796875,117.30911254882812,151.44833374023438,250.14205932617188
120.56846618652344,142.26052856445312,107.55699920654297,120.65518188476562,150.02505493164062,258.15460205078125
122.27152252197266,139.52687072753906,104.0999984741211,122.1609115600586,146.1745147705078,257.13446044921875
123.123046875,139.6859130859375,106.7750015258789,121.4129638671875,152.48162841796875,260.0067443847656
125.25186920166016,142.9265594482422,111.07749938964844,124.0012435913086,159.09091186523438,263.3543701171875
127.02266693115234,148.75177001953125,115.14649963378906,126.44190216064453,162.93170166015625,270.62408447265625
127.95159912109375,147.9564971923828,120.20950317382812,126.58953094482422,157.80416870117188,269.2672119140625
125.70667266845703,147.82728576660156,121.68399810791016,123.45996856689453,152.5791015625,269.81195068359375
127.72903442382812,150.3124542236328,125.51100158691406,125.48729705810547,156.85858154296875,271.95123291015625
125.94857788085938,144.51705932617188,122.3499984741211,123.33203887939453,156.9852752685547,267.4349060058594
125.53248596191406,145.2725372314453,124.79000091552734,122.88917541503906,155.6497802734375,266.1770935058594
125.86149597167969,147.82728576660156,123.0,121.4129638671875,152.05270385742188,269.89117431640625
123.85845947265625,147.08175659179688,121.18000030517578,120.35994720458984,152.75457763671875,267.8211669921875
121.25550079345703,141.79331970214844,116.1500015258789,119.1002426147461,150.65870666503906,262.2550048828125
115.68186950683594,136.31602478027344,109.6500015258789,119.76946258544922,145.90158081054688,250.56796264648438
112.23705291748047,131.09719848632812,103.66999816894531,117.51579284667969,141.16392517089844,239.94068908691406
110.36949157714844,131.97195434570312,102.30999755859375,117.56499481201172,139.10707092285156,242.1493377685547
111.67581939697266,134.6260986328125,107.66999816894531,117.48625946044922,143.72772216796875,249.3497314453125
109.75989532470703,129.28799438476562,103.66000366210938,118.70658874511719,139.29229736328125,242.62472534179688
109.37283325195312,130.7790985107422,106.22000122070312,116.4135513305664,135.79266357421875,245.27906799316406
112.08223724365234,135.06350708007812,108.68000030517578,120.23200225830078,141.0567169189453,251.310791015625
111.4532699584961,134.54660034179688,108.94999694824219,118.77548217773438,137.2646484375,250.7066192626953
110.23402404785156,137.4492645263672,112.44000244140625,121.65900421142578,143.11358642578125,256.3817443847656
113.5240249633789,140.8191375732422,116.45999908447266,121.75741577148438,146.63267517089844,265.1371765136719
112.61443328857422,140.8191375732422,113.22000122070312,122.15107727050781,145.8430938720703,262.3540344238281
112.07255554199219,136.6241912841797,107.4000015258789,120.42882537841797,140.88124084472656,254.0245361328125
111.56938171386719,138.403564453125,108.91999816894531,119.98596954345703,138.3271942138672,257.76837158203125
108.96642303466797,135.90846252441406,106.20999908447266,119.6513671875,137.674072265625,254.37118530273438
110.35982513427734,138.10533142089844,109.55999755859375,120.68470001220703,138.7951202392578,257.0948181152344
109.94005584716797,140.7197265625,113.5,122.27900695800781,142.04129028320312,260.33355712890625
109.22743225097656,142.07167053222656,114.33000183105469,123.14505004882812,141.16392517089844,263.661376953125
111.99008178710938,145.48129272460938,116.33000183105469,123.33203887939453,146.18426513671875,265.8304443359375
111.63865661621094,146.1671905517578,115.54000091552734,123.4107666015625,144.26388549804688,265.0975036621094
110.17434692382812,144.01007080078125,111.75,123.45996856689453,142.7041778564453,261.9776916503906
110.28173065185547,144.99420166015625,109.22000122070312,123.08600616455078,140.92022705078125,251.241455078125
109.2469482421875,144.62640380859375,110.4000015258789,123.38124084472656,141.77809143066406,250.300537109375
