Date,JP Morgan,Apple,Amazon,Walmart,Target,Microsoft,Total,daily_return_rate_optimal
2010-01-04,2538.1753,123.6147,453.9653,5497.4009,773.7082,613.1356,9999.999999999998,0.0
2010-01-05,2587.3403406212583,123.82844428884894,456.64364500233006,5442.659005145593,776.5772332302497,613.333798414074,10000.382466702355,0.0038245207483800898
2010-01-06,2601.556308345047,121.85877029711277,448.37125554428417,5430.493033185543,791.3978706979883,609.5697153416821,10003.246953411657,0.03245899483218885
2010-01-07,2653.088411915759,121.6335208183729,440.7429984079836,5433.53544335347,801.1187421219441,603.2301939535437,10053.349310571073,0.5306620602049338
2010-01-08,2646.573033175253,122.44212334795441,452.676970691082,5406.165282078765,797.9317223640418,607.3904754076112,10033.179607064707,0.3306988249402598
2010-01-11,2637.6878734798793,121.36202374272922,441.7940055985595,5495.37210245305,799.6849150953857,599.664557353316,10095.565477722921,0.946608468181397
2010-01-12,2576.084600557661,119.98151891123537,431.75861026219775,5548.08467565884,786.2981908527764,595.7023750900862,10057.909971332796,0.5757654572157999
2010-01-13,2621.1016451532096,121.6739250853952,437.7256125701038,5576.469497757853,786.2981908527764,601.2494501032551,10144.518321522592,1.4245952044463617
2010-01-14,2647.165398472634,120.96922313108259,431.75861026219775,5495.37210245305,798.4098658362265,613.333798414074,10107.008998569265,1.0587602977737003
2010-01-15,2587.3403406212583,118.94760338845877,431.04664390717153,5441.646440727947,799.5253615408492,611.352707282459,9989.859097468143,-0.10151196761549375
2010-01-19,2563.6462083740294,124.2096580491622,432.64009703499886,5477.123930665472,815.9395519868243,616.1073359206583,10029.666782031145,0.2957903056589769
2010-01-20,2570.7542721772597,122.29777313819518,426.4358049414644,5459.890943803867,808.2904632118605,606.0039299066002,9993.673187179247,-0.06330818210933281
2010-01-21,2401.344991846484,120.18366727525735,429.28367036156936,5364.599827195394,800.3221811292528,594.5136807218229,9710.24801852978,-2.9839812630665263
2010-01-22,2319.6019383439943,114.22276306361641,411.68785192218786,5366.629672945675,802.871934853288,573.712620732811,9588.726781861573,-4.289132723193308
2010-01-25,2322.563285182886,117.29563777529566,407.89069802871467,5360.5474731181475,809.0871104031226,580.844489272683,9598.22869378085,-4.185890116157323
2010-01-26,2276.953875289956,118.95338320388504,405.0767172925365,5434.548007771116,829.0076863117854,584.410522765855,9648.950192635133,-3.6382176335910086
2010-01-27,2329.6707094554304,120.07393244360055,416.16308748676056,5413.260570425604,828.0513131688452,587.7781593984809,9694.997772378721,-3.1459752212654992
2010-01-28,2338.5569883295034,115.11225578868496,427.2833746976251,5333.175215436781,827.2544935804415,577.6747533844227,9619.05708121746,-3.9602937748065012
2010-01-29,2306.569422153597,110.9361349895946,425.1813926491868,5416.30088418687,817.055478684301,558.2604869545122,9634.303799618061,-3.795771941470589
2010-02-01,2347.4416683768627,112.47835669760731,403.00861992802504,5421.371567800082,814.1867040497636,562.8167187321654,9661.303635584505,-3.5057004436544865
2010-02-02,2401.9362379651657,113.13105846007066,400.4658783268294,5422.383084014396,809.8836713958138,563.8074131328269,9711.607343295102,-2.969566689740633
2010-02-03,2386.5368187079853,115.07760411660813,403.78838798361846,5501.455350483908,806.3779755216925,567.175347435161,9780.411484248973,-2.2451868830331487
2010-02-04,2271.622747496198,110.93036424766194,393.0749433088709,5369.671034910271,781.9951581988266,551.5249160195522,9478.819164181381,-5.498373022961114
2010-02-05,2268.6604413612786,112.9000110189173,397.99093842620096,5418.328109428823,785.6608386203384,555.090701454634,9538.631040310192,-4.836846689426014
2010-02-08,2233.120442110471,112.12596942647659,396.09232914675067,5365.615536223033,777.3735356272286,549.1475768946435,9433.475389428604,-6.005470806721521
2010-02-09,2273.991089507023,113.3216744137209,400.1607545079201,5398.053236500957,783.1109124991617,554.8927510986503,9523.530418527433,-5.003077225916387
2010-02-10,2302.4236644852863,112.7036243233344,397.8892197089933,5397.041196184976,780.0830153029418,554.4966519402105,9544.637371945744,-4.7708740553379965
2010-02-11,2311.308984063331,114.75409777562156,407.14481465704796,5380.822346046014,783.4295886153807,557.071941421103,9554.531772578499,-4.66237632596495
2010-02-12,2307.162746747006,115.74186550992401,405.6869649303551,5362.575746563432,775.1428890122664,553.3077591254751,9519.61797188846,-5.0462322073229435
2010-02-16,2373.5047821656017,117.4862446554523,398.46558266288514,5429.480468767897,798.2505708774024,564.2543641997587,9681.442013328997,-3.2903981269776166
2010-02-17,2371.728006038801,116.99528698998863,394.3293556011485,5480.1652926300685,809.1240033914216,569.0311196196043,9741.373064271032,-2.6549330779409925
2010-02-18,2393.643763332516,117.21477480028943,400.3302425929813,5420.357431077439,811.3627526720383,576.5947084596693,9719.503672934934,-2.8859120434939305
2010-02-19,2371.1350012107346,116.48696265776532,398.4316656462447,5422.383084014396,811.2028543232186,572.6138226164381,9692.253390468799,-3.1751812208483137
2010-02-22,2419.7070370039264,115.76498477162912,400.09292047463924,5456.851154144268,809.7637691838419,571.8176057584974,9773.997471336803,-2.3122834779318255
2010-02-23,2362.2509606940607,113.82420985702431,397.4823771728764,5435.562668595424,800.489320158019,563.8566278579236,9673.466164335328,-3.3755618732461468
2010-02-24,2419.7070370039264,115.9036186804173,405.8904023647704,5465.973143631394,815.3602975911003,569.827386089163,9792.66188536077,-2.117280439848343
2010-02-25,2407.268804702966,116.67760583189637,400.73708512909826,5489.289902625523,814.7204456001093,569.230310266039,9797.924154155631,-2.0624352940991053
2010-02-26,2486.049871835879,118.19094660976491,401.4151668001977,5481.178905251045,823.8356858656788,570.6236029471037,9881.294179309669,-1.2013185574303225
