Date,JP Morgan,Apple,Amazon,Walmart,Target,Microsoft
2010-01-04,30.279611587524414,6.496294021606445,6.695000171661377,40.01307678222656,34.240272521972656,23.572368621826172
2010-01-05,30.866134643554688,6.507526874542236,6.734499931335449,39.6146354675293,34.36724090576172,23.579988479614258
2010-01-06,31.03572654724121,6.404015064239502,6.612500190734863,39.526084899902344,35.02312469482422,23.43527603149414
2010-01-07,31.650487899780273,6.392177581787109,6.5,39.5482292175293,35.45331954956055,23.19154930114746
2010-01-08,31.57276153564453,6.434671878814697,6.676000118255615,39.34901428222656,35.312278747558594,23.35149383544922
2010-01-11,31.466764450073242,6.3779096603393555,6.515500068664551,39.99831008911133,35.38986587524414,23.054466247558594
2010-01-12,30.731857299804688,6.305360317230225,6.367499828338623,40.381980895996094,34.79743957519531,22.902137756347656
2010-01-13,31.268896102905273,6.394300937652588,6.45550012588501,40.58858108520508,34.79743957519531,23.115398406982422
2010-01-14,31.5798282623291,6.357266902923584,6.367499828338623,39.99831008911133,35.333438873291016,23.579988479614258
2010-01-15,30.866134643554688,6.251025199890137,6.35699987411499,39.60726547241211,35.38280487060547,23.50382423400879
2010-01-19,30.583471298217773,6.527560710906982,6.380499839782715,39.8654899597168,36.10921096801758,23.68661880493164
2010-01-20,30.66826820373535,6.427085876464844,6.289000034332275,39.74005889892578,35.77070236206055,23.298187255859375
2010-01-21,28.64727020263672,6.315983772277832,6.330999851226807,39.046478271484375,35.418067932128906,22.85643768310547
2010-01-22,27.672101974487305,6.002721786499023,6.071499824523926,39.06125259399414,35.530906677246094,22.05672836303711
2010-01-25,27.707429885864258,6.164209842681885,6.015500068664551,39.01698303222656,35.80595779418945,22.330917358398438
2010-01-26,27.1633243560791,6.251328945159912,5.973999977111816,39.555599212646484,36.687538146972656,22.468015670776367
2010-01-27,27.792219161987305,6.310216903686523,6.137499809265137,39.400657653808594,36.64521408081055,22.59748649597168
2010-01-28,27.898229598999023,6.049467086791992,6.301499843597412,38.817752838134766,36.60995101928711,22.209054946899414
2010-01-29,27.51662826538086,5.830000400543213,6.270500183105469,39.422786712646484,36.15859603881836,21.462661743164062
2010-02-01,28.004220962524414,5.911048412322998,5.94350004196167,39.459693908691406,36.031639099121094,21.637828826904297
2010-02-02,28.65432357788086,5.94534969329834,5.906000137329102,39.46705627441406,35.841209411621094,21.67591667175293
2010-02-03,28.470613479614258,6.0476460456848145,5.954999923706055,40.04258728027344,35.686065673828125,21.80539894104004
2010-02-04,27.0997257232666,5.829697132110596,5.796999931335449,39.08338928222656,34.60700988769531,21.20370864868164
2010-02-05,27.06438636779785,5.9332075119018555,5.869500160217285,39.43754196166992,34.76923370361328,21.340797424316406
2010-02-08,26.640405654907227,5.892529487609863,5.8414998054504395,39.053871154785156,34.40248107910156,21.1123104095459
2010-02-09,27.127979278564453,5.955367088317871,5.901500225067139,39.28997039794922,34.65638732910156,21.333187103271484
2010-02-10,27.46717071533203,5.922886848449707,5.868000030517578,39.2826042175293,34.52238845825195,21.31795883178711
2010-02-11,27.573169708251953,6.03064489364624,6.004499912261963,39.164554595947266,34.67049026489258,21.416967391967773
2010-02-12,27.523706436157227,6.082554817199707,5.982999801635742,39.03174591064453,34.30376434326172,21.27225112915039
2010-02-16,28.31514549255371,6.174226760864258,5.876500129699707,39.518714904785156,35.32638931274414,21.693099975585938
2010-02-17,28.293949127197266,6.148425579071045,5.815499782562256,39.88762664794922,35.80759048461914,21.876745223999023
2010-02-18,28.555397033691406,6.1599602699279785,5.9039998054504395,39.45231246948242,35.90666580200195,22.167531967163086
2010-02-19,28.286874771118164,6.121711730957031,5.875999927520752,39.46705627441406,35.89958953857422,22.014484405517578
2010-02-22,28.866323471069336,6.083769798278809,5.9004998207092285,39.717933654785156,35.83590316772461,21.98387336730957
2010-02-23,28.180891036987305,5.981776714324951,5.861999988555908,39.562984466552734,35.42546463012695,21.67780876159668
2010-02-24,28.866323471069336,6.091055393218994,5.986000061035156,39.78432846069336,36.08357620239258,21.907358169555664
2010-02-25,28.717939376831055,6.131730556488037,5.909999847412109,39.95404052734375,36.055259704589844,21.884403228759766
2010-02-26,29.657772064208984,6.211260795593262,5.920000076293945,39.89500427246094,36.45865249633789,21.937969207763672
2010-03-01,29.55883026123047,6.343912601470947,6.2270002365112305,39.76957702636719,36.968143463134766,22.20578384399414
2010-03-02,29.41042709350586,6.339662551879883,6.276500225067139,39.54083251953125,36.56479263305664,21.77727508544922
2010-03-03,29.346837997436523,6.354231357574463,6.29449987411499,39.592506408691406,36.57185745239258,21.77727508544922
2010-03-04,29.622419357299805,6.39612340927124,6.426499843597412,39.8138542175293,37.46352005004883,21.907358169555664
2010-03-05,30.251340866088867,6.646248817443848,6.445499897003174,39.946651458740234,37.85273361206055,21.876745223999023
2010-03-08,30.09587287902832,6.650195121765137,6.505499839782715,39.95404052734375,37.84563446044922,21.907358169555664
2010-03-09,29.975751876831055,6.7697954177856445,6.440999984741211,39.88762664794922,37.40689468383789,22.03744125366211
2010-03-10,30.336143493652344,6.825039863586426,6.5254998207092285,39.79338455200195,37.2512092590332,22.167531967163086
2010-03-11,30.512798309326172,6.84507417678833,6.678999900817871,40.04567337036133,37.37151336669922,22.32821273803711
2010-03-12,30.491596221923828,6.878465175628662,6.591000080108643,39.993736267089844,37.562583923339844,22.39707374572754
2010-03-15,30.435068130493164,6.794684886932373,6.55649995803833,41.1215705871582,37.838584899902344,22.41238021850586
2010-03-16,30.555206298828125,6.81320333480835,6.5894999504089355,41.54451370239258,37.817344665527344,22.473600387573242
